"vehicle_id","stock_number","state_of_vehicle","yardname","yard_code","source_yardname","year","make","model","variant","title","price","sale_price","currency","image[0].url","URL","exterior_color","mileage.value"
"09300","09300","DEMO","Rangiora","RANGIORA","Rangiora Demo","2025","Ford","Puma","St-Line 1.0L Mid Hybrid","2025 Ford Puma St-Line 1.0L Mid Hybrid","33990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=96134739&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/159276/1077/ford-puma-st-line-1-0l-mid-hybrid","Digital aqua blue","8618"
"09343","09343","DEMO","Sockburn","SOCKBURN","Demo Cars","2026","Ford","Puma","St-Line 1.0L Mid Hybrid","2026 Ford Puma St-Line 1.0L Mid Hybrid","35990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=96918425&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/147894/1002/ford-puma-st-line-1-0l-mid-hybrid","Frozen White","4103"
"139377","139377","DEMO","Sockburn","SOCKBURN","Demo Cars","2026","Ford","Ranger","Stormtrak PHEV/4WD","2026 Ford Ranger Stormtrak PHEV/4WD","75990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=98224234&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/159285/1002/ford-ranger-stormtrak-phev-4wd","Agate Black","1000"
"139403","139403","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Ranger","STORMTRAK 2.3L PHEV Double cab 4WD","2026 Ford Ranger STORMTRAK 2.3L PHEV Double cab 4WD","94990","75462","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=98280896&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/47489/1002/ford-ranger-stormtrak-2-3l-phev-double-cab-4wd","Agate Black","100"
"140095","140095","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Ranger","STORMTRAK 2.3L PHEV Double cab 4WD","2026 Ford Ranger STORMTRAK 2.3L PHEV Double cab 4WD","94990","75462","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=98280913&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/47490/1002/ford-ranger-stormtrak-2-3l-phev-double-cab-4wd","Agate Black","0"
"141684","141684","DEMO","Sockburn","SOCKBURN","Demo Cars","2025","Ford","Ranger","XLT D/Cab PHEV/4WD/10 speed Auto","2025 Ford Ranger XLT D/Cab PHEV/4WD/10 speed Auto","56990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=98325990&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/159428/1002/ford-ranger-xlt-d-cab-phev-4wd-10-speed-auto","Frozen White","13535"
"16276","16276","DEMO","Rangiora","RANGIORA","Rangiora Demo","2026","Ford","Puma","St-Line 1.0L Mid Hybrid","2026 Ford Puma St-Line 1.0L Mid Hybrid","35990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=96172283&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/147076/1077/ford-puma-st-line-1-0l-mid-hybrid","Frozen White","5831"
"165135","165135","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Transit","Tourneo Custom Sport Mini Bus","2026 Ford Transit Tourneo Custom Sport Mini Bus","81990","75424","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=91721643&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/37257/1002/ford-transit-tourneo-custom-sport-mini-bus","Artisan Red","100"
"165148","165148","DEMO","Rangiora","RANGIORA","Rangiora Demo","2025","Ford","Ranger","Stormtrak Hybrid 2.3L Petrol PHEV 3500kg Towing","2025 Ford Ranger Stormtrak Hybrid 2.3L Petrol PHEV 3500kg Towing","78990","75990","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=96002112&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/147609/1077/ford-ranger-stormtrak-hybrid-2-3l-petrol-phev-3500kg-towing","Agate Black","9009"
"165177","165177","DEMO","Sockburn","SOCKBURN","Demo Cars","2026","Ford","Mustang","V8 GT Mustang Black Edition / RTR","2026 Ford Mustang V8 GT Mustang Black Edition / RTR","119990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=97053745&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/158952/1002/ford-mustang-v8-gt-mustang-black-edition-rtr","Shadow Black","1000"
"165178","165178","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Mustang","V8 GT Fastback RTR Spec 1","2026 Ford Mustang V8 GT Fastback RTR Spec 1","112490","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=93852566&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/25777/1002/ford-mustang-v8-gt-fastback-rtr-spec-1","Grabber Blue","100"
"165179","165179","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Mustang","5.0L V8 GT Fastback","2026 Ford Mustang 5.0L V8 GT Fastback","94990","93490","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=96169443&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/37262/1002/ford-mustang-5-0l-v8-gt-fastback","Race Red","50"
"165180","165180","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Mustang","5.0L V8 GT Fastback","2026 Ford Mustang 5.0L V8 GT Fastback","94990","93490","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=94755006&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/25772/1002/ford-mustang-5-0l-v8-gt-fastback","Molten Magenta","100"
"165181","165181","NEW","Sockburn","SOCKBURN","New Cars","2026","Ford","Mustang","5.0L V8 GT Fastback","2026 Ford Mustang 5.0L V8 GT Fastback","94990","93490","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=91484104&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/25771/1002/ford-mustang-5-0l-v8-gt-fastback","Grabber Blue","100"
"165242","165242","DEMO","Sockburn","SOCKBURN","Rangiora Demo","2026","Ford","Ranger","XLT 2.0L Bi Turbo Diesel Double Cab 4X4","2026 Ford Ranger XLT 2.0L Bi Turbo Diesel Double Cab 4X4","60990","","NZD","https://dataapi.autoplay.co.nz/image.ashx?id=94603647&w=500&h=375&l=true","https://www.avoncityford.com/vehicles/stock/158978/1077/ford-ranger-xlt-2-0l-bi-turbo-diesel-double-cab-4x4","Blue Lightening","3114"
